"lon","lat","chl_gs_mean","Appendicularians","Thaliaceans","Copepods","Tunicates"
-178.5,13.5,0.0365662634923773,NA,NA,NA,NA
-178.5,14.5,0.0369720528514854,NA,NA,NA,NA
-178.5,15.5,0.0378520598544279,NA,NA,NA,NA
-178.5,16.5,0.039457446042485,NA,NA,NA,NA
-178.5,17.5,0.0408790088104838,NA,NA,NA,NA
-178.5,18.5,0.0411163698512885,NA,NA,3.1440002918,NA
-178.5,19.5,0.0419077275464187,NA,NA,NA,NA
-178.5,20.5,0.0432715977644746,NA,NA,NA,NA
-178.5,21.5,0.0449035098030363,NA,NA,NA,NA
-178.5,22.5,0.0462631186654196,NA,NA,NA,NA
-178.5,23.5,0.047639606692205,NA,NA,NA,NA
-178.5,24.5,0.0480899781816196,NA,NA,NA,NA
-178.5,25.5,0.0505388049865308,NA,NA,NA,NA
-178.5,26.5,0.0533312725713427,NA,NA,NA,NA
-178.5,27.5,0.0594793629233549,NA,NA,0.2809959054,NA
-178.5,28.5,0.0854846990701672,NA,NA,0.4752257764,NA
-178.5,29.5,0.0883893531750758,NA,2.155718167924,1.847566247,2.155718167924
-178.5,30.5,0.104794109805449,NA,NA,NA,NA
-178.5,31.5,0.122089452587923,NA,NA,NA,NA
-178.5,32.5,0.139274942332379,NA,NA,NA,NA
-178.5,33.5,0.157852996031032,NA,NA,NA,NA
-178.5,34.5,0.178155055845337,NA,NA,NA,NA
-178.5,35.5,0.197043043888254,NA,NA,NA,NA
-178.5,36.5,0.225234623149852,NA,NA,NA,NA
-178.5,37.5,0.239800031248599,NA,NA,NA,NA
-178.5,38.5,0.247824322527349,NA,NA,41.6198005676,NA
-178.5,39.5,0.262340592915332,NA,NA,NA,NA
-178.5,40.5,0.270886617688066,NA,NA,NA,NA
-178.5,41.5,0.275097071426924,NA,NA,NA,NA
-178.5,42.5,0.294881051780704,NA,NA,NA,NA
-178.5,43.5,0.302316378062105,NA,NA,NA,NA
-178.5,44.5,0.309405665931793,NA,NA,NA,NA
-178.5,45.5,0.32244610504982,NA,NA,NA,NA
-178.5,46.5,0.335785396372948,NA,NA,NA,NA
-178.5,47.5,0.353005304849688,NA,NA,NA,NA
-178.5,48.5,0.429386785024225,NA,NA,7.55763868852727,NA
-178.5,49.5,0.500474912173719,NA,NA,20.6902537346,NA
-178.5,50.5,0.727252991472697,NA,NA,9.2792737484,NA
